Time,ID,x,y
0.000000,0,8.142663,5.107785
0.000000,1,4.330891,2.142263
0.000000,2,-9.267981,-1.879730
0.000000,3,9.456380,6.711851
0.000000,4,-8.450205,8.558170
0.000000,5,-8.904624,-3.166329
0.000000,6,6.149729,8.589203
0.000000,7,-2.251561,1.606335
0.000000,8,5.853154,1.009960
0.000000,9,-7.569274,7.923365
0.000000,10,6.158729,-0.195973
0.000000,11,-7.571683,3.221608
0.000000,12,2.407987,-4.732540
0.000000,13,-2.985671,-6.454003
0.000000,14,9.487210,-2.415949
0.000000,15,-6.274714,-2.126827
0.000000,16,9.868493,-1.516214
0.000000,17,-9.027931,-0.996517
0.000000,18,6.307574,8.916119
0.000000,19,5.875239,1.543156
0.000000,20,8.354017,6.463234
0.000000,21,-1.300832,6.671641
0.000000,22,7.636934,3.118866
0.000000,23,-9.209344,-9.035848
0.000000,24,-4.795223,-5.980863
0.000000,25,-2.417244,-7.293070
0.000000,26,8.713748,8.910537
0.000000,27,-4.769900,8.695028
0.000000,28,-9.876942,4.332815
0.000000,29,9.370830,0.143912
0.000000,30,-5.274844,6.761553
0.000000,31,-1.750207,-8.133360
0.000000,32,-4.498878,8.981087
0.000000,33,0.417218,-3.755558
0.000000,34,-8.329461,4.277064
0.000000,35,-9.167252,5.393421
0.000000,36,-2.787186,6.054847
0.000000,37,6.234996,-8.760730
0.000000,38,4.323849,9.093333
0.000000,39,-9.841732,-4.307514
0.000000,40,8.024766,5.839259
0.000000,41,1.393108,-0.133809
0.000000,42,0.974861,4.947781
0.000000,43,4.037919,-3.387132
0.000000,44,-8.770137,-7.129879
0.000000,45,-5.926416,-8.080638
0.000000,46,-2.524528,-5.821131
0.000000,47,-7.342644,-0.778514
0.000000,48,-4.688139,-7.240495
0.000000,49,-2.629882,-5.671962
0.000000,50,1.803540,-1.920281
0.000000,51,2.954078,7.531643
0.000000,52,-3.185710,8.171765
0.000000,53,2.001338,9.774289
0.000000,54,-4.070727,-7.832077
0.000000,55,-8.106699,-3.429017
0.000000,56,-8.622595,3.097548
0.000000,57,6.648416,-3.548318
0.000000,58,7.694975,8.835996
0.000000,59,-8.927525,-1.193723
0.000000,60,-0.368123,3.882279
0.000000,61,-2.723435,7.919105
0.000000,62,-7.109558,6.075478
0.000000,63,5.909452,-1.182302
0.000000,64,1.250031,-0.371925
0.000000,65,7.093049,-3.215628
0.000000,66,6.576196,-0.380519
0.000000,67,-0.402515,-6.419394
0.000000,68,2.392204,0.730528
0.000000,69,8.428214,9.701671
0.000000,70,8.576638,-5.394120
0.000000,71,-5.537997,5.155068
0.000000,72,-1.896310,-4.045722
0.000000,73,4.963182,-3.060833
0.000000,74,-7.393396,1.278505
0.000000,75,2.037676,-1.752483
0.000000,76,-2.040903,-5.531151
0.000000,77,6.396185,7.155135
0.000000,78,-5.139923,-8.488011
0.000000,79,2.117540,-5.310495
0.000000,80,-8.277772,3.180455
0.000000,81,-6.498616,-8.393062
0.000000,82,9.696104,-9.684579
0.000000,83,2.903669,4.403306
0.000000,84,4.298011,8.418522
0.000000,85,7.010354,1.913409
0.000000,86,7.343337,-5.914466
0.000000,87,-2.071151,-1.269519
0.000000,88,-0.966655,-7.293236
0.000000,89,-4.334801,2.825136
0.000000,90,3.849342,-5.750059
0.000000,91,-9.073496,3.808854
0.000000,92,7.921951,9.216618
0.000000,93,-6.446310,-7.217350
0.000000,94,6.675666,-9.819705
0.000000,95,6.150882,5.256803
0.000000,96,-8.302451,0.208209
0.000000,97,-9.840222,2.865433
0.000000,98,4.487294,-0.624607
